"filename", "language", "Cangjie", "comment", "blank", "total"
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\library\order_library.cj", "Cangjie", 36, 0, 4, 40
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\library\product_library.cj", "Cangjie", 43, 0, 4, 47
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\library\user_library.cj", "Cangjie", 25, 0, 3, 28
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\main.cj", "Cangjie", 34, 5, 19, 58
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\models\order.cj", "Cangjie", 32, 0, 5, 37
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\models\order_item.cj", "Cangjie", 31, 0, 7, 38
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\models\product.cj", "Cangjie", 34, 0, 6, 40
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\models\result_status.cj", "Cangjie", 27, 0, 8, 35
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\models\user.cj", "Cangjie", 28, 0, 5, 33
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services\i_order_service.cj", "Cangjie", 7, 0, 2, 9
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services\i_product_service.cj", "Cangjie", 12, 0, 3, 15
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services\i_random_service.cj", "Cangjie", 6, 0, 1, 7
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services\i_user_service.cj", "Cangjie", 6, 0, 1, 7
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services\i_uuid_generation_service.cj", "Cangjie", 6, 0, 1, 7
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services_impl\order_service_impl.cj", "Cangjie", 55, 0, 20, 75
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services_impl\product_service_impl.cj", "Cangjie", 121, 1, 27, 149
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services_impl\random_service.cj", "Cangjie", 68, 0, 9, 77
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services_impl\user_service_impl.cj", "Cangjie", 44, 1, 12, 57
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\services_impl\uuid_generation_service_impl.cj", "Cangjie", 70, 0, 10, 80
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\test\order_view_model_test.cj", "Cangjie", 8, 1, 4, 13
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\test\product_view_model_test.cj", "Cangjie", 100, 1, 12, 113
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\test\user_view_model_test.cj", "Cangjie", 52, 1, 18, 71
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\view_model\order_item_view_model.cj", "Cangjie", 20, 0, 12, 32
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\view_model\order_view_model.cj", "Cangjie", 27, 0, 9, 36
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\view_model\product_view_model.cj", "Cangjie", 67, 0, 9, 76
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\view_model\user_view_model.cj", "Cangjie", 26, 0, 3, 29
"Total", "-", 985, 10, 214, 1209